Doviz Kur Listesi;;;;;;;
Tarih;Döviz Kodu;Döviz Adý;Alýþ;Satýþ;Efektif Alýþ;Efektif Satýþ;Özel Kur
03.01.2020;TL;Türk Lirasý;1.0000;1.0000;1.0000;1.0000;1.0000
03.01.2020;USD;ABD Dolarý;5.9627;5.9734;5.9585;5.9824;2.0000
03.01.2020;EUR;Euro;6.6464;6.6584;6.6417;6.6683;3.0000
03.01.2020;GBP;Ýngiliz Sterlini;7.7900;7.8306;7.7845;7.8423;4.0000
03.01.2020;CHF;Ýsviçre Frangý;6.1179;6.1572;6.1088;6.1665;5.0000
03.01.2020;SEK;Ýsveç Kronu;0.6299;0.6364;0.6294;0.6378;0.0000
03.01.2020;CAD;Kanada Dolarý;4.5868;4.6075;4.5698;4.6250;0.0000
03.01.2020;KWD;Kuveyt Dinarý;19.5592;19.8152;19.2658;20.1124;0.0000
03.01.2020;NOK;Norveç Kronu;0.6738;0.6784;0.6734;0.6799;0.0000
03.01.2020;BGN;Bulgar Levasý;3.3793;3.4236;0.0000;0.0000;0.0000
03.01.2020;RON;Rumen Leyi;1.3824;1.4005;0.0000;0.0000;0.0000
03.01.2020;RUB;Rus Rublesi;0.0955;0.0968;0.0000;0.0000;0.0000
03.01.2020;CNY;Çin Yuaný;0.8503;0.8615;0.0000;0.0000;0.0000
03.01.2020;PKR;Pakistan Rupisi;0.0382;0.0387;0.0000;0.0000;0.0000
03.01.2020;QAR;Katar Riyali;1.6254;1.6467;0.0000;0.0000;0.0000
